,Course,URL,CourseDescription,Department
16,AIT 614,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+614,"Hands-on course discusses emerging technologies for big data analytics and their applications in real-world environments. Students apply learned concepts and best practices using several emerging technology tools simulating development, implementation, and use of big data analytical systems. Topics include RDBMS, SQL, NoSQL, R, MapReduce Programming paradigm, Hadoop, HDFS, HIVE, PIG and others in the Hadoop ecosystem for unstructured data analytics. Offered by Info Sciences & Technology. May not be repeated for credit.",AIT
17,AIT 622,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+622,"Explores Big Data Systems Engineering methodologies for consensus in system needs among stakeholders having different perspectives, competing objectives. Course goal is more efficient delivery of results coming from the rigor of traditional methods. Traditional methods establish foundation for extensions to non-traditional, streamlining methods. Principles, explained and demonstrated, are applied by students to a case study based project and individual assignments/labs. Offered by Info Sciences & Technology. May not be repeated for credit.",AIT
18,AIT 624,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+624,"Introduction to methods and tools related to knowledge mining/representation/visualization, and annotation and retrieval for Big-Data Applications from an applied perspective with the focus on emerging research problems. This course combines survey lectures with in-depth presentation of relevant issues through seminars, and hands-on experience using existing technologies and public data sources. Offered by Info Sciences & Technology. May not be repeated for credit.",AIT
19,AIT 664,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+664,"The course explores basic concepts to understand and analyze the design of information systems, and focuses on conceptual understanding of data, information, and knowledge, boundaries in representing and processing information for humans and machines, information theory, and basic techniques to organize, structure, and interact with the information through visualization. Offered by Info Sciences & Technology. May not be repeated for credit.",AIT
20,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,DAEN
21,BENG 320,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+320,Introduces the conversion of analog signals to digital ones and methods for using digitally processed signals in biomedical applications. Offered by Bioengineering. Limited to two attempts. Equivalent to ECE 320.,BENG
22,MATH 113,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+113,"Functions, limits, the derivative, maximum and minimum problems, the integral, and transcendental functions. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 115, MATH 123, MATH 124.",MATH
23,MATH 114,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+114,"Methods of integration, conic sections, parametric equations, infinite series, and power series. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 116, MSU 109.",MATH
24,MATH 213,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+213,"Partial differentiation, multiple integrals, line and surface integrals, and three-dimensional analytic geometry. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 215.",MATH
25,MATH 214,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+214,"First-order ODEs, higher-order ODEs, Laplace transforms, linear systems, nonlinear systems, numerical approximations, and modeling. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 216.",MATH
26,STAT 346,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+346,"Introduction to probability with applications to electrical and computer engineering, operations research, information technology, and economics. Basic concepts of probability, conditional probability, random variables and moments, specific probability distributions, multivariate distributions, moment-generating functions, limit theorems, and sampling distributions. Offered by Statistics. Limited to two attempts.",STAT
27,BENG 501,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+501,"Examines approaches for scientific research with emphasis on bioengineering. Topics include biophysical origins of bioengineering measures, tools and technology for bioengineering data collection, basic principles of experimental design and statistical analyses, and interpretation of scientific results. Special attention will be given to ethical issues associated with the collection, use, and dissemination of data. Offered by Bioengineering. May not be repeated for credit.",BENG
28,BENG 551,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+551,"Demonstrates the process for the creation of both medical device prototypes and medical device companies. Focuses on designing and building a robust medical device prototype and writing a business plan. Also addresses cost of healthcare, reimbursement, regulatory processes, intellectual property, and marketing and sales aspects. Course will feature lectures, videos, and guest speakers who are successful medical device entrepreneurs. Offered by Bioengineering. May not be repeated for credit.",BENG
29,ECE 528,http://catalog.gmu.edu/search/?scontext=courses&search=ECE+528,"Probability and random processes are fundamental to communications, control, signal processing, and computer networks. Provides basic theory and important applications. Topics include probability concepts and axioms; stationarity and ergodicity; random variables and their functions; vectors; expectation and variance; conditional expectation; moment-generating and characteristic functions; random processes such as white noise and Gaussian; autocorrelation and power spectral density; linear filtering of random processes, and basic ideas of estimation and detection. Offered by Electrical & Computer Engineer. May not be repeated for credit.",ECE
30,ECE 535,http://catalog.gmu.edu/search/?scontext=courses&search=ECE+535,"Representation analysis and design of digital signals and systems. Covers sampling and quantization, z-transform and discrete Fourier transform, digital filter realizations, design techniques for recursive and non-recursive filters, fast Fourier transform algorithms, and spectral analysis. Additional topics may include adaptive filtering, homomorphic digital signal processing, digital interpolation and decimation. Offered by Electrical & Computer Engineer. May not be repeated for credit.",ECE
31,BENG 525,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+525,"Provides an overview of topics in Neural Engineering. Topics covered range from sensory and motor prosthetic devices, stimulation of biological tissue, bioelectrodes and characterization techniques, brain-machine interfaces, and engineered devices to ameliorate neurodisorders. Prior knowledge in electrical or computer engineering disciplines required. Offered by Bioengineering. May not be repeated for credit.",BENG
32,BENG 538,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+538,"Introduction to the physical, mathematical and engineering foundations of modern medical imaging systems, medical image processing and analysis methods. Introduces engineering students to clinical applications of medical imaging. Emphasis on diagnostic ultrasound and magnetic resonance imaging methods; several other modalities are also covered. Provides overview of recent developments and future trends in the field of medical imaging, discusses some of the challenges and controversies, and involves hands-on experience applying the methods learnt in class to real-world problems. Offered by Bioengineering. May not be repeated for credit. Equivalent to ECE 538.",BENG
33,ECE 537,http://catalog.gmu.edu/search/?scontext=courses&search=ECE+537,"First course in digital-image processing; introduces scanning systems, focal plane array detectors, data acquisition methods, display hardware, image preprocessing algorithms, feature extraction, and basic image processing methods. Semester-long image processing project includes utilizing modern image processing system prototyping software. Offered by Electrical & Computer Engineer. May not be repeated for credit.",ECE
34,BENG 550,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+550,"Introduces the fundamental concepts of musculoskeletal biomechanics, and how to apply mechanical principles to quantitatively describe and analyze movement. Topics include properties, functions, and models of the musculoskeletal structures, 3D kinematics, locomotion, and instrumentation systems applied in musculoskeletal biomechanics and movement analysis. Offered by Bioengineering. May not be repeated for credit.",BENG
35,BENG 636,http://catalog.gmu.edu/search/?scontext=courses&search=BENG+636,"Provides an overview of advanced topics in biomedical signal processing with an emphasis on practical applications. Topics include introduction to physiological origins of biomedical signals, stochastic and adaptive signal processing, spectral estimation, signal modeling and analysis of nonstationary signals. Offered by Bioengineering. May not be repeated for credit.",BENG
36,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,DAEN
37,STAT 515,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+515,"Introduces multivariate regression and random forests for modeling data. Addresses data access, variable selection and model diagnostics. Introduces foundations for visual thinking. Reviews common statistical graphics such as dot plots, box plots, q-q plots. Addresses more advanced methods such as scatterplot matrices enhanced by smoothed or density contours, and search tools for finding graphics with suggestive patterns. Notes: Course will introduce R software for analysis. A final project will involve visualization of a real data set. Offered by Statistics. May not be repeated for credit.",STAT
38,STAT 554,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+554,"Application of basic statistical techniques. Focus is on the problem (data analysis) rather than on the theory. Topics include descriptive statistics; exploratory data analysis; sampling distributions; one- and two-sample tests and confidence intervals for means, medians, proportions, and variances; and goodness-of-fit tests. Normal theory is introduced first with discussion of what happens when assumptions break down. Alternative robust and nonparametric techniques are presented. Notes: Certificate program students granted credit for only one of STAT 535 or 554. Offered by Statistics. May not be repeated for credit.",STAT
39,GBUS 720,http://catalog.gmu.edu/search/?scontext=courses&search=GBUS+720,Marketing analytics is a systemic approach to harnessing data/information to drive effective marketing decision making . The objective of this course is to equip you with the tools required to address fundamental marketing decision problems using a data-driven approach. It will train students to view the marketing processes and relationships systemically and analytically. Offered by School of Business. May not be repeated for credit. Equivalent to MBA 720.,GBUS
40,GBUS 721,http://catalog.gmu.edu/search/?scontext=courses&search=GBUS+721,"Develops skills to plan and implement effective marketing research studies. Topics include research design, data collection, statistical analysis, and use of database systems. Offers perspective on how managers can use market data to develop successful product or service strategies. Offered by School of Business. May not be repeated for credit. Equivalent to MBA 721.",GBUS
41,GBUS 738,http://catalog.gmu.edu/search/?scontext=courses&search=GBUS+738,"Examines how data warehouses and data mining are used to help businesses successfully gather, structure, analyze, understand and act on relevant data, both operational and contextual. Offered by School of Business. May not be repeated for credit. Equivalent to MBA 738.",GBUS
42,GBUS 739,http://catalog.gmu.edu/search/?scontext=courses&search=GBUS+739,This course covers business analytics using advanced data mining methods for the purposes of developing predictive models and forecasting . The course will develop the concept of feature selection to identify what dimensions to best use for constructing decision making models. Offered by School of Business. May not be repeated for credit. Equivalent to MBA 739.,GBUS
43,GBUS 744,http://catalog.gmu.edu/search/?scontext=courses&search=GBUS+744,"Introduces strategies and techniques for fraud prevention and detection. Focuses on financial fraud such as bribery, contract rigging and kickbacks, embezzlement, fraudulent financial reporting, payroll fraud, and misappropriation of inventory and other assets. Offered by School of Business. May not be repeated for credit. Equivalent to MBA 744.",GBUS
44,CS 310,http://catalog.gmu.edu/search/?scontext=courses&search=CS+310,Focuses on object-oriented programming with an emphasis on tools and techniques for developing moderate to large programs. Topics include use and implementation of linear and nonlinear data structures and the design and analysis of elementary algorithms. Offered by Computer Science. Limited to two attempts.,CS
45,CS 330,http://catalog.gmu.edu/search/?scontext=courses&search=CS+330,"Abstract concepts that underlie much advanced work in computer science, with major emphasis on formal languages, models of computation, logic, and proof strategies. Offered by Computer Science. Limited to two attempts.",CS
46,CS 367,http://catalog.gmu.edu/search/?scontext=courses&search=CS+367,"Introduces students to computer systems from a programmer's perspective. Topics include data representation, assembly and machine-level representation of high-level language programs, the memory hierarchy, linking, exceptions, interrupts, processes and signals, virtual memory, and system-level I/O. Foundation for courses on compilers; networks; operating systems; and computer architecture, where a deeper understanding of systems-level issues is required. Offered by Computer Science. Limited to two attempts.",CS
47,CS 465,http://catalog.gmu.edu/search/?scontext=courses&search=CS+465,"Computer subsystems and instruction set architectures. Single-cycle, multiple-cycle, and pipeline architectures. Memory hierarchy, cache, and virtual memory input-output processing. Offered by Computer Science. Limited to two attempts.",CS
48,MATH 125,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+125,"Introduces ideas of discrete mathematics and combinatorial proof techniques including mathematical induction, sets, graphs, trees, recursion, and enumeration. Offered by Mathematics. May not be repeated for credit.",MATH
49,CS 657,http://catalog.gmu.edu/search/?scontext=courses&search=CS+657,"Covers the techniques to mine large datasets, including Distributed File Systems and Map-Reduce, similarity search, and data stream processing. Covers classic problems in data mining, such as clustering, association rule mining, and others from the point of view of scalability. Includes a final project to exercise concepts covered in class. Offered by Computer Science. May not be repeated for credit. Equivalent to CS 757.",CS
50,CS 550,http://catalog.gmu.edu/search/?scontext=courses&search=CS+550,"An introduction to database management with focus on architecting databases and using them in applications. Topics to be covered include: data modeling with the Entity-Relationship model, the relational data model and its formal languages, SQL, the theory of database design, object databases, XML and Web data. Offered by Computer Science. May not be repeated for credit.",CS
51,CS 580,http://catalog.gmu.edu/search/?scontext=courses&search=CS+580,"Principles and methods for knowledge representation, reasoning, learning, problem solving, planning, heuristic search, and natural language processing and their application to building intelligent systems in a variety of domains. LISP, PROLOG, or expert system programming language. Offered by Computer Science. May not be repeated for credit.",CS
52,CS 650,http://catalog.gmu.edu/search/?scontext=courses&search=CS+650,"Study of the internal architecture of database systems. Topics include: physical data organization and indexing, query processing and optimization, transaction processing, database system architectures, Web services and Web data security. Offered by Computer Science. May not be repeated for credit.",CS
53,CS 674,http://catalog.gmu.edu/search/?scontext=courses&search=CS+674,"Covers advanced techniques for managing, searching, and mining of various types of data such as text, web links, images, time series, video, and audio. Issues related to handling such data will be discussed, including feature selection, high dimensional indexing, interactive search and information retrieval, pattern discovery, and scalability. Offered by Computer Science. May not be repeated for credit. Equivalent to CS 780.",CS
54,CS 688,http://catalog.gmu.edu/search/?scontext=courses&search=CS+688,"Explores statistical pattern recognition and neural networks. Pattern recognition topics include Bayesian classification and decision theory, density (parametric and nonparametric) estimation, linear and nonlinear discriminant analysis, dimensionality reduction, feature extraction and selection, mixture models and EM, and vector quantization and clustering. Neural networks topics include feed-forward networks and back-propagation, self-organization feature maps, and radial basis functions. Emphasizes experimental design, applications, and performance evaluation. Offered by Computer Science. May not be repeated for credit.",CS
55,CS 775,http://catalog.gmu.edu/search/?scontext=courses&search=CS+775,"Covers statistical pattern recognition, neural network, and statistical learning theory approaches. Topics include decision theory and Bayes' theorem, density (parametric and nonparametric) estimation, linear and nonlinear discriminant analysis, SVM and kernel methods, SRM and model selection, performance evaluation, mixture of experts (AdaBoost), dimensionality reduction, feature selection and extraction, and clustering. Emphasizes experimental design, applications, and performance evaluation. Offered by Computer Science. May not be repeated for credit.",CS
56,CS 782,http://catalog.gmu.edu/search/?scontext=courses&search=CS+782,"Surveys machine learning concerning development of intelligent adaptive systems that are able to improve through learning from input data or from their own problem-solving experience. Topics provide broad coverage of developments in machine learning, including basic learning strategies and multistrategy learning. Offered by Computer Science. May not be repeated for credit.",CS
57,CS 787,http://catalog.gmu.edu/search/?scontext=courses&search=CS+787,"Decision-guidance systems support an iterative process of giving actionable recommendations to and extracting feedbacks from human decision-makers, with the goal of arriving at the best possible course of action. Focuses on models, languages, algorithms and applications of Decision-Guidance Management Systems, used for fast development of decision-guidance applications. Offered by Computer Science. May not be repeated for credit.",CS
58,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,DAEN
59,INFS 623,http://catalog.gmu.edu/search/?scontext=courses&search=INFS+623,"Study of Web search engines and recommender systems. Topics to include classical information retrieval methods, Boolean retrieval systems, ranked retrieval, performance metrics, Web crawling, link analysis, overall search engine architecture, fundamentals and classification of recommender systems, learning user interests and object properties, and case studies. Offered by Computer Science. May not be repeated for credit.",INFS
60,INFS 740,http://catalog.gmu.edu/search/?scontext=courses&search=INFS+740,Information systems accessible through web and Internet are becoming prevalent. Course focuses on technologies and industry standards for accessing and manipulating persistent data that are suitable for web applications. Offered by Computer Science. May not be repeated for credit.,INFS
61,SYST 664,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+664,"Introduces decision theory and relationship to Bayesian statistical inference. Teaches commonalities, differences between Bayesian and frequentist approaches to statistical inference, how to approach statistics problem, and how to combine data with informed expert judgment to derive useful and policy relevant conclusions. Teaches theory to develop understanding of when and how to apply Bayesian and frequentist methods; and practical procedures for inference, hypothesis testing, and developing statistical models for phenomena. Teaches fundamentals of Bayesian theory of inference, including probability as a representation for degrees of belief, likelihood principle, use of Bayes Rule to revise beliefs based on evidence, conjugate prior distributions for common statistical models, and methods for approximating the posterior distribution. Introduces graphical models for constructing complex probability and decision models from modular components. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to CSI 674, STAT 664.",SYST
62,IT 342,http://catalog.gmu.edu/search/?scontext=courses&search=IT+342,"Practices and procedures for installing and configuring modern operating systems, including user accounts, file, print, and terminal servers, mobile computing, and disaster recovery. Through practical lab sessions, students receive real-world experiences with multiple operating systems. Offered by Info Sciences & Technology. Limited to two attempts.",IT
63,IT 441,http://catalog.gmu.edu/search/?scontext=courses&search=IT+441,"Covers IP networking concepts and practices for IPv6 addressing, DHCP and DNS in IPv6 networks, secure communication over VPNs, VoIP architecture, Virtual Computing, Cloud Computing, MPLS, traffic monitoring and network connectivity between operating systems. Students learn the latest technologies of IP networks and understand application-level services used in the Internet. Lab sessions focus on installation of applications on virtual servers. Notes: Term project. Offered by Info Sciences & Technology. Limited to two attempts.",IT
64,IT 341,http://catalog.gmu.edu/search/?scontext=courses&search=IT+341,"Focuses on primary aspects of data communications and networking. Open Systems Interconnection (OSI) and Internet models; Layer 1 interfaces and cabling configurations; IP network addressing, network design, router and port configurations; security protocols; static routing, RIPv2, and OSPF configurations; TCP, UDP, data reliability, and error correction methods; Telnet, FTP, TFTP, HTTP, SMTP, POP, and DNS protocols. Notes: This course is 50 percent lab work of configuration of routers and network design, implementation, and testing. Offered by Info Sciences & Technology. Limited to two attempts.",IT
65,IT 445,http://catalog.gmu.edu/search/?scontext=courses&search=IT+445,"This course focuses on Layer 2 and 3 of the OSI model and WAN technologies. Frame Relay and ISDN, complex router configurations of Variable Length Subnet Masking (VLSM), Classless Inter-Domain Routing (CIDR), Network Address Translation (NAT), Dynamic Host Configuration Protocol (DHCP), and study of Network Management Systems available for Data Communications Networks. Layer 2 involves Ethernet-switching components, including detailed hands-on configuration covering all aspects of switches using the command-line interface method. Offered by Info Sciences & Technology. Limited to two attempts.",IT
66,TCOM 515,http://catalog.gmu.edu/search/?scontext=courses&search=TCOM+515,"Internet Protocol (IP) routing overview; static routing; dynamic routing; default routing; access lists; route redistribution; RIP, OSPF, IGRP, EIGRP, IS-IS, and BGP protocols submitted for comment. Real-life scenarios taught in laboratory element through exercises that involve configuring routers as network elements. Offered by Electrical & Computer Engineer. May not be repeated for credit.",TCOM
67,CFRS 500,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+500,"Presents an overview of technologies of interest to forensics examiners. It will provide an introduction to, software, hardware, analysis, and other aspects required for forensic examinations. Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
68,CFRS 660,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+660,"Deals with the collection, preservation, and analysis of network-generated digital evidence such that the evidence can be successfully presented in a court of law (both civil and criminal). The relevant federal laws will be examined as well as private sector applications. The capture/intercept of digital evidence, the analysis of audit trails, the recording of running processes, and the reporting of such information will be examined. Offered by Electrical & Computer Engineer. May not be repeated for credit. Equivalent to TCOM 660.",CFRS
69,CFRS 510,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+510,"Explains computer forensics crime scene procedures, beginning with initial walk-through and evaluation; identification and collection of potential evidence; preparation of intrusion investigation; aspects of working with investigators and attorneys; reverse engineering with file identification and profiling; application of critical thinking in determination of significance of artifacts; and analysis and reporting of evidence. Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
70,CFRS 661,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+661,"Covers the collection, preservation, and analysis of digital media such that the evidence can be successfully presented in a court of law (both civil and criminal). The relevant federal laws and private sector applications will be examined, as well as the seizure, preservation, and analysis of digital media. Offered by Electrical & Computer Engineer. May not be repeated for credit. Equivalent to TCOM 661.",CFRS
71,CFRS 663,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+663,"Introduces students to network and computer intrusion detection and its relation to forensics. Addresses intrusion detection architecture, system types, packet analysis, and products. Presents advanced intrusion detection topics such as intrusion prevention and active response, decoy systems, alert correlation, data mining, and proactive forensics. Offered by Electrical & Computer Engineer. May not be repeated for credit. Equivalent to TCOM 663.",CFRS
72,CFRS 664,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+664,"Addresses incident detection, response, and those aspects of computer forensics pertinent to the investigation of trade secret theft, economic espionage, copyright infringement, piracy, and fraud. Procedures for gathering, preserving, and analyzing forensic evidence are discussed in detail and are applied to both computer and network incident response forensics. Offered by Electrical & Computer Engineer. May not be repeated for credit. Equivalent to TCOM 664.",CFRS
73,CFRS 698,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+698,Studies selected area in computer forensics under the supervision of a faculty member. A written report is required. Notes: No more than a total of six credits may be taken from a combination of CFRS 698 and CFRS 798 for credit within the CFRS program. Offered by Electrical & Computer Engineer. May be repeated within the degree for a maximum 6 credits.,CFRS
74,CFRS 761,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+761,"Reviews disassembled code for potentially malicious binary, or piece of malware, in order to gain a better understanding of how a binary functions when executed. Analyzes behavioral aspects as they are executed in a controlled environment. Environment changes (file, system, network, process, etc.), network communications, communications with remote devices, and so on, are closely observed for actionable information. Notes: Course will consist of exercises conducted in a lab environment with concurrent lectures (combined total of 3 credits for lab and lecture exercises). Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
75,CFRS 762,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+762,"Reviews forensic evidence contained within mobile devices, including address books, call logs, text messages, video files, audio files, and Internet history. Discusses procedures and technologies associated with mobile devices and how such procedures differ from traditional computer forensics. Analyzes collected data and correlates information with data from carriers. Hands-on exercises included. Notes: Course will consist of exercises conducted in a lab environment with concurrent lectures (combined total of 3 credits for lab and lecture exercises). Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
